1000,0.006,0
102000,0,0.016
203000,0.032,0
304000,0.016,0.015
405000,0.031,0.047
506000,0.047,0.031
607000,0.046,0.032
708000,0.063,0.031
809000,0.078,0.032
910000,0.078,0.047
1011000,0.079,0.062
1112000,0.094,0.063
1213000,0.094,0.078
1314000,0.109,0.094
1415000,0.126,0.094
1516000,0.125,0.094
1617000,0.14,0.11
1718000,0.157,0.125
1819000,0.157,0.109
1920000,0.172,0.141
2021000,0.188,0.109
2122000,0.188,0.125
2223000,0.189,0.14
2324000,0.203,0.141
2425000,0.203,0.156
2526000,0.219,0.156
2627000,0.234,0.172
2728000,0.234,0.172
2829000,0.265,0.172
2930000,0.265,0.188
3031000,0.266,0.172
3132000,0.281,0.188
3233000,0.282,0.203
3334000,0.298,0.218
3435000,0.312,0.228
3536000,0.329,0.219
3637000,0.328,0.219
3738000,0.344,0.234
3839000,0.345,0.219
3940000,0.347,0.25
4041000,0.375,0.252
4142000,0.393,0.266
4243000,0.39,0.268
4344000,0.406,0.313
4445000,0.406,0.313
4546000,0.425,0.344
4647000,0.439,0.35
4748000,0.455,0.359
4849000,0.517,0.343
4950000,0.485,0.328
5051000,0.485,0.344
5152000,0.484,0.345
5253000,0.502,0.392
5354000,0.516,0.359
5455000,0.5,0.408
5556000,0.533,0.362
5657000,0.549,0.406
5758000,0.547,0.391
5859000,0.547,0.39
5960000,0.562,0.422
6061000,0.564,0.398
6162000,0.583,0.44
6263000,0.596,0.438
6364000,0.597,0.424
6465000,0.605,0.423
6566000,0.628,0.423
6667000,0.645,0.44
6768000,0.644,0.438
6869000,0.662,0.469
6970000,0.659,0.47
7071000,0.676,0.487
7172000,0.675,0.495
7273000,0.692,0.493
7374000,0.736,0.5
7475000,0.719,0.485
7576000,0.735,0.501
7677000,0.724,0.5
7778000,0.737,0.518
7879000,0.753,0.518
7980000,0.77,0.517
8081000,0.767,0.549
8182000,0.801,0.521
8283000,0.785,0.55
8384000,0.801,0.535
8485000,0.831,0.549
8586000,0.816,0.581
8687000,0.831,0.564
8788000,0.848,0.581
8889000,0.863,0.564
8990000,0.89,0.578
9091000,0.877,0.596
9192000,0.912,0.58
9293000,0.911,0.606
9394000,0.925,0.612
9495000,0.959,0.595
9596000,0.925,0.627
9697000,0.959,0.612
9798000,0.969,0.625
9899000,0.987,0.658
10000000,0.968,0.657
