1000,0.011,0.002
102000,0.012,0
203000,0.015,0.016
304000,0.031,0.017
405000,0.031,0.032
506000,0.047,0.031
607000,0.048,0.031
708000,0.063,0.032
809000,0.063,0.079
910000,0.064,0.079
1011000,0.075,0.063
1112000,0.094,0.079
1213000,0.11,0.08
1314000,0.125,0.094
1415000,0.125,0.095
1516000,0.127,0.109
1617000,0.141,0.096
1718000,0.157,0.111
1819000,0.173,0.11
1920000,0.172,0.126
2021000,0.171,0.125
2122000,0.19,0.126
2223000,0.19,0.148
2324000,0.205,0.156
2425000,0.221,0.155
2526000,0.235,0.141
2627000,0.236,0.172
2728000,0.251,0.174
2829000,0.265,0.19
2930000,0.267,0.204
3031000,0.267,0.174
3132000,0.283,0.189
3233000,0.313,0.188
3334000,0.314,0.219
3435000,0.312,0.236
3536000,0.332,0.235
3637000,0.346,0.224
3738000,0.343,0.252
3839000,0.357,0.235
3940000,0.361,0.251
4041000,0.44,0.252
4142000,0.393,0.252
4243000,0.408,0.299
4344000,0.393,0.299
4445000,0.426,0.312
4546000,0.425,0.329
4647000,0.435,0.362
4748000,0.439,0.36
4849000,0.453,0.346
4950000,0.456,0.345
5051000,0.472,0.395
5152000,0.502,0.359
5253000,0.516,0.393
5354000,0.502,0.394
5455000,0.502,0.376
5556000,0.533,0.44
5657000,0.549,0.406
5758000,0.548,0.391
5859000,0.547,0.406
5960000,0.563,0.422
6061000,0.579,0.407
6162000,0.61,0.422
6263000,0.609,0.406
6364000,0.61,0.421
6465000,0.61,0.438
6566000,0.625,0.453
6667000,0.64,0.471
6768000,0.644,0.441
6869000,0.676,0.474
6970000,0.672,0.469
7071000,0.672,0.485
7172000,0.703,0.484
7273000,0.703,0.484
7374000,0.719,0.516
7475000,0.719,0.5
7576000,0.751,0.532
7677000,0.75,0.5
7778000,0.766,0.532
7879000,0.765,0.516
7980000,0.781,0.532
8081000,0.766,0.547
8182000,0.814,0.532
8283000,0.796,0.547
8384000,0.798,0.595
8485000,0.828,0.547
8586000,0.845,0.595
8687000,0.844,0.578
8788000,0.843,0.594
8889000,0.908,0.626
8990000,0.875,0.626
9091000,0.875,0.594
9192000,0.907,0.609
9293000,0.94,0.641
9394000,0.922,0.672
9495000,0.922,0.61
9596000,0.938,0.625
9697000,0.97,0.641
9798000,0.972,0.675
9899000,0.974,0.659
10000000,0.989,0.657
